*Vertices 56
# node_id name 56
0 "Von_Mises_yield_criterion"
1 "Plasticity_(physics)"
2 "Strength_of_materials"
3 "Structural_analysis"
4 "Von_Mises"
5 "Dislocation_creep"
6 "Shear_strength"
7 "Tytus_Maksymilian_Huber"
8 "Padeye"
9 "Yield_surface"
10 "HMH"
11 "T-criterion"
12 "Mohr–Coulomb_theory"
13 "Cauchy_stress_tensor"
14 "Stress_space"
15 "Drucker–Prager_yield_criterion"
16 "Lode_coordinates"
17 "Huber's_equation"
18 "Critical_state_soil_mechanics"
19 "Hill_yield_criterion"
20 "Hosford_yield_criterion"
21 "Viscoplasticity"
22 "Material_failure_theory"
23 "Structural_engineering_theory"
24 "Heinrich_Hencky"
25 "Christensen_failure_criterion"
26 "Micro-mechanics_of_failure"
27 "Yu_Mao-Hong"
28 "Load_path_analysis"
29 "Stress_triaxiality"
30 "Bigoni–Piccolroaz_yield_criterion"
31 "Equation_of_state"
32 "Navier–Stokes_equations"
33 "Bernoulli's_principle"
34 "Capillary_action"
35 "Elasticity_(physics)"
36 "Fracture_mechanics"
37 "Bending"
38 "Transverse_isotropy"
39 "Yield_(engineering)"
40 "Orthotropic_material"
41 "J-integral"
42 "Contact_mechanics"
43 "Shear_strength_(soil)"
44 "Lankford_coefficient"
45 "Bresler–Pister_yield_criterion"
46 "Willam–Warnke_yield_criterion"
47 "Interval_finite_element"
48 "Hoek–Brown_failure_criterion"
49 "Frictional_contact_mechanics"
50 "Compaction_of_ceramic_powders"
51 "Rock_mass_plasticity"
52 "Flow_plasticity_theory"
53 "Ratcheting"
54 "Computational_materials_science"
55 "Unified_strength_theory"
*Arcs 69
# source target weight
0 9 1.0
1 0 1.0
1 9 1.0
2 0 1.0
3 0 1.0
4 0 1.0
5 0 1.0
6 0 1.0
7 9 1.0
7 0 1.0
8 0 1.0
9 0 1.0
10 0 1.0
11 0 1.0
12 0 1.0
12 9 1.0
13 0 1.0
14 0 1.0
15 0 1.0
15 9 1.0
16 9 1.0
16 0 1.0
17 9 1.0
17 0 1.0
18 9 1.0
18 0 1.0
19 0 1.0
20 0 1.0
20 9 1.0
21 9 1.0
21 0 1.0
22 0 1.0
22 9 1.0
23 0 1.0
23 9 1.0
24 0 1.0
25 0 1.0
26 0 1.0
27 0 1.0
27 9 1.0
28 0 1.0
29 0 1.0
30 9 1.0
30 0 1.0
31 9 1.0
32 9 1.0
33 9 1.0
34 9 1.0
35 9 1.0
36 9 1.0
37 9 1.0
38 9 1.0
39 9 1.0
40 9 1.0
41 9 1.0
42 9 1.0
43 9 1.0
44 9 1.0
45 9 1.0
46 9 1.0
47 9 1.0
48 9 1.0
49 9 1.0
50 9 1.0
51 9 1.0
52 9 1.0
53 9 1.0
54 9 1.0
55 9 1.0
